"distance_km","n_bridges","taxi_fare"
14,10,223.09
9,0,77.67
11,6,158.98
13,4,144.12
6,3,91.73
7,3,95.67
18,10,251.91
5,9,168.15
17,10,245.52
13,8,190.72
7,1,71.24
13,3,129.92
16,8,212.15
4,9,150.69
15,6,184.43
5,1,56.72
18,8,228.82
10,0,73.45
13,7,180.54
11,9,203.13
5,5,108.28
18,6,204.77
17,7,202.09
14,0,96.4
7,1,68.29
20,7,223.74
15,0,110.57
13,3,131.4
20,8,239.6
19,3,163.26
4,5,100.22
4,9,159.99
19,4,186.16
6,3,95.12
19,0,122.29
6,4,111.72
8,3,106.08
3,2,58.38
10,6,155.67
14,6,172.13
7,3,90.57
3,7,123.72
8,5,122.11
17,8,221.36
15,7,201.34
12,5,146.85
6,4,99.18
15,3,143.71
10,7,160.92
13,0,90.78
10,4,130.43
19,9,249.86
11,4,134.23
14,9,207.17
13,4,144.26
15,8,213.29
20,8,242.16
3,3,70.64
8,8,154.35
17,8,220.77
6,10,183.08
10,9,191.71
17,1,130.21
3,6,112.44
14,2,122.72
13,5,163.39
13,8,198.62
13,0,86.91
16,10,246.72
16,10,245.92
4,9,159.21
16,6,181.02
18,3,158.94
15,7,198.36
15,2,130.7
20,9,253.07
17,10,257.57
20,5,195.82
7,10,176.99
13,2,119.73
3,6,107.41
10,4,128.51
8,10,188.84
7,1,79.45
6,5,114.94
17,8,218.35
20,2,159.75
6,4,106.38
9,5,133.94
11,4,125.18
10,5,139.48
18,4,177.92
18,0,122.68
11,9,200.81
16,4,161.84
15,1,117.24
16,3,151.67
20,4,190.97
20,7,219.89
20,0,134.35
13,3,131.18
19,5,190.08
20,7,220.85
20,5,196.66
13,7,186.14
6,7,139.63
4,4,86.97
10,5,140.24
3,5,91.93
20,8,243.21
16,10,238.32
17,5,182.35
5,10,174.73
17,5,181.5
12,10,224.64
19,10,254.79
20,5,204.65
16,8,214.64
14,2,120.74
20,10,264.19
9,7,162.86
7,8,158.59
3,5,94.03
9,3,108.19
6,10,184.95
8,5,127.17
8,0,56.26
8,0,56.62
16,4,159.04
10,6,150.13
15,10,234.4
20,4,189.52
12,0,84.54
6,9,162.49
13,4,147.23
15,7,196.74
9,6,151.71
20,9,243.93
12,4,138.89
3,10,168.59
13,1,108.76
17,2,138.75
15,4,159.8
5,5,105.58
20,10,262.46
19,5,198.84
5,0,43.19
17,3,159.23
19,10,257.19
14,10,221.41
16,9,223.68
11,1,88.6
4,1,49.32
3,4,82.99
10,0,73.81
6,6,127.41
7,5,130.01
6,6,122.26
6,6,126.63
19,5,195.07
4,9,162.83
10,4,126.9
8,5,133.08
10,5,132.1
8,7,160.01
7,3,92.39
9,9,184.26
11,3,114.51
3,9,150.1
3,8,144.53
15,8,219.4
17,10,241.65
16,6,190.69
16,1,129.75
17,7,206.62
19,5,192.52
17,9,232.13
10,8,181.19
13,9,215.79
17,6,197.59
19,5,194.94
5,10,173.14
6,7,143.74
16,3,147.03
4,10,167.24
14,3,142.43
14,10,230.49
18,7,214.58
15,1,116.35
18,3,165.69
7,10,192.51
5,10,170.59
12,5,151.75
15,3,143.72
14,0,95.9
20,7,221.01
14,9,215.49
8,9,182.45
17,5,188.15
16,1,114.91
17,9,230.34
13,9,208.1
3,10,155.02
11,0,77.12
20,9,248
16,1,120.25
15,3,133.65
18,10,253.46
8,4,111.66
8,9,186.34
5,1,61.08
13,2,111.96
17,2,142.94
16,0,107.83
14,7,193.5
4,0,38.74
18,4,171.99
19,10,260.47
11,8,185.19
6,9,166.76
10,8,187.59
20,2,158.12
20,7,223.38
12,0,79.54
3,3,71.32
8,10,196.51
14,0,89.18
19,8,231.37
14,6,171.18
12,2,118.99
15,1,123.61
20,4,188.01
15,8,214.93
9,10,194.6
10,8,182.78
8,9,176.87
18,6,201.94
10,1,86.15
3,1,44.25
4,6,118.96
6,2,70.63
15,9,220.37
11,3,120.27
10,8,176.68
13,6,170.97
3,8,135.07
14,10,235.78
15,3,146.71
16,1,136.85
12,7,173.92
4,0,42.16
13,10,231.94
12,4,139.85
11,0,75.63
15,2,125.97
10,1,87.34
19,0,134.39
7,10,189.88
11,2,96.88
17,10,243.35
20,3,173.46
16,10,233.94
10,1,90.63
18,9,228.42
11,8,185.14
5,7,133.74
13,8,194.29
5,5,108.22
8,4,115.92
17,9,235.28
16,0,109.48
18,0,113.84
4,7,123.02
8,10,185.89
11,2,109.93
6,4,101.4
8,2,89.71
14,10,221.48
8,6,138.09
4,4,93.03
18,1,134.7
15,10,233.98
18,4,174.18
20,5,204.95
20,2,157.73
3,3,74.54
10,7,169.54
7,8,155.15
12,2,113.05
16,3,149.45
4,2,69.13
19,6,210.62
9,1,81.49
10,10,205.11
20,5,196.26
12,0,85.61
9,9,180.87
14,2,120.15
5,2,65.01
19,6,210.26
12,6,169.52
17,10,244.64
19,2,149.42
9,8,172.1
4,1,61.59
9,2,103.69
10,9,183.76
13,6,168.89
15,3,150.4
6,7,141.33
20,10,271.69
3,5,96
7,2,85.22
8,5,128.51
19,8,247.03
13,1,109.64
8,9,174.07
13,7,180.78
5,10,176.17
11,1,84.95
5,2,62.38
4,9,150.45
10,5,137.93
12,1,105.08
11,9,196.27
13,9,210.23
9,3,107.21
20,9,248.33
18,7,219.63
3,9,144.57
13,3,130.47
5,10,172.93
11,1,95.89
14,0,105.73
7,0,58.81
4,2,70.72
4,7,132.93
20,0,131.69
3,4,84.87
19,5,199.69
13,10,215.47
14,1,112.96
12,1,98.79
7,6,138.45
19,3,170.88
13,5,158.85
14,8,209.22
12,0,79.64
17,4,172.6
16,7,194.39
12,7,180.14
8,9,179.9
6,10,184.85
10,2,100.85
14,10,221.44
14,0,89.46
14,5,165.93
15,9,221.17
6,2,73.93
9,6,145.1
11,1,90.48
8,10,191.79
20,3,169.31
17,2,133.58
5,3,82.51
11,2,111.2
19,1,149.95
5,9,161.51
10,7,165.14
4,10,172.83
19,10,258.74
17,1,127.54
6,3,81.68
14,8,196.81
11,1,95.33
14,7,182.93
14,1,116.22
19,6,200.44
11,8,183.63
19,6,206.49
16,5,175.44
16,3,150.18
10,0,77.19
3,3,70.93
18,4,173.38
9,0,69.22
13,5,155.55
3,10,169.42
16,2,126.73
18,9,244.12
5,1,56.38
7,6,136.4
7,3,99.94
3,9,153.26
18,2,145.53
10,3,120.54
15,2,123.2
8,7,157.39
11,0,78.2
17,4,159.87
11,4,124.1
9,7,160.6
16,9,237.51
20,6,213.73
10,9,196.59
15,3,147.27
12,10,213.55
5,8,152.79
3,6,112.09
3,8,137.43
20,1,152.01
9,2,97.86
17,7,204.68
6,3,91.28
17,9,229.49
9,7,162.34
3,10,160.55
14,1,113.53
11,8,186.16
7,6,133.28
9,10,200.59
4,3,80.08
4,7,128.46
20,2,165.78
16,1,129.77
20,2,157.52
19,2,151
20,0,136.81
8,10,188.39
17,2,140.48
10,8,182.11
9,4,117.92
20,2,151.82
12,8,193.49
3,2,51.29
5,1,51.4
16,1,109.92
17,10,250.24
9,6,147.63
3,8,138.58
11,4,136.3
4,2,64.31
7,1,64.52
19,10,261.04
18,9,245.37
20,0,127.75
5,5,106.77
12,9,202.18
17,8,214.7
20,1,150.62
19,3,164.8
5,8,154.16
3,6,110.74
17,5,184.78
5,9,168.52
9,3,108.7
16,8,219.35
4,2,65.45
6,9,160.7
9,6,146.6
7,0,59.73
10,5,141.7
8,6,139.72
5,7,130.02
9,4,123.41
13,7,179.38
16,2,130.87
12,10,219.18
7,3,89.95
19,10,259.6
12,10,216.51
18,1,129.52
16,7,206.81
15,10,231.83
4,4,95.9
16,5,173.36
7,9,170.91
5,7,135.36
17,3,153.89
20,6,210.9
9,6,142.55
4,5,98.04
3,10,165.26
10,3,109.87
6,4,96.31
4,3,75.21
17,2,138.9
8,10,182.63
9,3,106.19
20,10,265.25
9,1,82.83
15,9,223.27
10,6,148
9,9,184.03
16,6,183.96
16,4,159.64
8,8,161.06
7,1,64.48
15,10,237.33
16,5,174.27
15,10,233.34
10,5,147.28
5,1,57.24
4,6,114.08
11,10,213.86
19,5,191.31
8,6,146.68
11,10,208.8
14,3,134.73
10,10,199.24
4,10,169.98
4,9,162.1
19,7,217.9
19,2,155.68
19,10,260
5,6,128.9
6,5,118.49
14,10,223.67
7,2,79.36
18,8,223.14
6,0,51.14
20,2,160.48
11,9,199.16
18,4,171.54
8,2,86.81
18,1,138.84
12,8,190.05
14,8,199.56
3,6,114.87
10,3,113.56
13,7,179.38
5,9,169.19
12,9,198.24
13,10,214.49
3,3,61.36
15,9,224.43
13,3,129.1
5,3,82.26
12,4,139.8
17,1,127.4
10,9,184.26
8,2,79.73
11,3,117.97
14,5,164.29
14,4,140.25
12,4,139.81
14,8,204.4
9,9,191.33
8,8,167.24
3,5,98.42
18,8,229.22
12,0,86.41
11,5,145.14
5,8,149.02
11,8,187.85
6,10,178.56
17,6,192.25
17,3,151.61
18,2,144.19
20,7,226.97
7,10,193.46
17,4,164.14
5,0,43.65
8,1,70.86
7,8,164.59
13,3,130.07
5,6,123.31
14,4,152.07
3,5,92.76
14,3,137.03
14,2,123.47
11,6,161.54
10,4,120.95
5,0,39.1
16,10,243.95
15,9,218.85
11,5,142.53
7,1,70.01
14,3,136.06
5,4,104.9
8,2,89.67
14,7,190.23
6,3,93.69
10,8,178.23
17,5,181.72
9,0,63.67
16,0,100.18
5,1,52.07
3,9,150.01
8,4,109.85
17,5,184.6
17,1,132.76
3,10,163.48
17,6,193.59
11,9,191.35
7,4,107.11
9,10,196.46
5,10,177.48
11,0,86.39
4,0,40.75
18,7,208.42
12,4,146.02
4,3,82.05
18,1,136.51
10,5,129.57
5,2,66.2
20,3,173.19
19,10,261.93
4,6,111.19
18,0,136.95
7,5,110.01
14,9,214.44
11,0,79.33
12,3,122.51
13,8,195.06
18,8,229.84
8,6,136.57
8,1,66.13
10,1,87.92
8,8,166.49
18,1,135.44
10,9,194.51
10,2,100.44
10,0,77.99
13,0,83.45
13,9,204.42
14,6,178.07
18,4,172.91
14,10,232.75
12,10,211.98
15,6,185.76
3,3,68.49
12,7,172.49
17,6,192.96
7,0,56.72
20,2,154.98
11,0,77.06
3,7,117.89
6,2,81.08
19,9,248.76
12,8,185.85
15,8,211.01
9,2,93.35
16,1,118.49
11,7,173.4
8,9,178.05
5,4,100.46
17,3,154.62
9,7,164.85
17,6,192.21
5,1,58.49
12,9,205.17
9,1,82.76
18,6,201.41
15,5,169.44
16,3,149.09
13,4,150.64
11,7,175.59
17,0,113.76
19,3,173.78
15,7,196.15
15,4,153.62
12,0,87.26
10,10,203.79
18,3,161.95
4,9,151.12
18,5,183.81
16,6,194.63
4,2,68.83
4,1,47.52
17,0,112.45
5,10,182.25
17,3,164.09
6,8,151
17,5,175.64
3,1,57.31
6,1,64.53
11,9,198.34
20,0,134.84
6,8,160.82
3,1,44.64
5,8,155.07
12,3,124.51
8,7,155.77
12,3,120.85
15,7,196.27
10,10,209.9
12,7,176.76
16,1,129.27
16,9,239.77
12,7,181.74
7,3,94.38
6,3,89.93
14,6,174.55
19,5,203.3
19,6,193.19
9,2,94.86
5,5,110
16,8,215.46
11,2,99.49
7,0,57.47
17,6,195.34
5,6,128.16
13,4,146.86
7,5,126.52
19,8,228.19
5,9,160.94
19,6,207.36
15,4,157.72
7,2,79.38
4,7,136.16
15,8,205.75
5,7,128.24
6,7,143.31
12,2,115.49
9,3,111.75
3,5,93.24
18,3,160.38
8,4,108.52
11,10,214.3
9,9,187.06
14,6,180.61
19,6,209.24
17,3,152.77
10,6,153.31
5,3,74.91
8,10,194.76
8,7,157.86
7,7,143.56
17,7,197.89
15,7,188.65
11,7,166.49
9,7,165.08
7,4,108.52
8,10,186.93
11,3,122
10,9,181.68
3,0,31.39
18,6,205.51
5,8,146.96
19,2,160.37
13,10,230.58
7,7,142.24
3,0,27.31
12,6,160.38
11,8,186.88
9,0,72.26
13,0,97.94
20,0,140.35
4,3,82.34
16,0,114.73
17,4,169.24
3,10,158.5
6,6,125.23
8,8,168.33
13,3,139.08
3,0,40.18
4,8,133.83
11,7,167.75
11,3,125.89
16,5,170.71
18,6,193.24
6,4,105.2
16,9,235.3
4,2,73.21
6,9,169.9
19,1,144.74
17,6,197.02
6,8,154.42
20,8,223.33
17,3,158.92
10,9,189.74
13,4,149.04
18,3,158.68
17,7,200.14
16,1,129.1
18,7,214.32
10,2,116.23
18,3,165.62
19,4,185.22
19,3,170.94
3,10,159.78
14,6,174.83
11,4,137.27
13,1,110.25
19,2,157.12
6,6,124.06
16,7,209.08
5,6,116.35
16,3,147.55
